respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q_interest,q_price,q_priority,q_setup,q_share,q_switch,q_trust,q_value
pilot_nimbusnotes_q1_startup_ops_v_pro_0000,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Very acceptable,Keeps action items organized,Somewhat hard,Very likely,"No, not enough",Somewhat uncomfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0001,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Keeps action items organized,Very easy,Somewhat likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0002,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not at all likely,Borderline,Helps with client visibility,Somewhat easy,Very likely,"Yes, likely",Very comfortable,Not valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0003,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Acceptable,Helps with client visibility,Very easy,Very likely,"Yes, likely",Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0004,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Somewhat easy,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0005,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Not very likely,Acceptable,Keeps action items organized,Very easy,Somewhat likely,Maybe with some proof,Very comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0006,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Very comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0007,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Very acceptable,Keeps action items organized,Somewhat easy,Not very likely,Maybe with some proof,Somewhat uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0008,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Very likely,Borderline,Helps with client visibility,Very easy,Very likely,Maybe with some proof,Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0009,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Keeps action items organized,Very easy,Not very likely,"Yes, likely",Very uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0010,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Very acceptable,Saves time after meetings,Very easy,Very likely,"Yes, likely",Somewhat uncomfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0011,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Acceptable,Keeps action items organized,Very easy,Somewhat likely,Maybe with some proof,Mostly comfortable,Slightly valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0012,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Helps with client visibility,Very easy,Very likely,"Yes, likely",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0013,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Too expensive,Keeps action items organized,Somewhat hard,Somewhat likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0014,startup_ops,Startup ops leads,v_pro,Pro monthly,skeptical,Somewhat likely,Acceptable,None of these feels compelling,Somewhat easy,Not very likely,Maybe with some proof,Very comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0015,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Helps with client visibility,Somewhat easy,Very likely,Maybe with some proof,Mostly comfortable,Somewhat valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0016,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Somewhat likely,Borderline,Saves time after meetings,Very easy,Very likely,Maybe with some proof,Very uncomfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0017,startup_ops,Startup ops leads,v_pro,Pro monthly,promoter,Very likely,Very acceptable,Helps with client visibility,Somewhat hard,Not very likely,"No, not enough",Mostly comfortable,Extremely valuable
pilot_nimbusnotes_q1_startup_ops_v_pro_0018,startup_ops,Startup ops leads,v_pro,Pro monthly,mainstream,Somewhat likely,Very acceptable,Saves time after meetings,Somewhat easy,Not at all likely,"Yes, likely",Very comfortable,Somewhat valuable
