respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q35a_low_income_programs,q35b_social_security_age,q35c_education_cuts,q35d_mortgage_deduction,q35f_investment_income_tax,q35g_medicare_high_income,q35h_defense_cuts,q35j_student_loans,q35k_corporate_deductions,q35m_high_income_tax,q35n_scientific_research
sample_en_pew_policy_topline_fiscal_hawks___base___0000,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Don't know,Don't know,Disapprove,Approve,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0001,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Approve,Don't know,Disapprove,Disapprove,Disapprove,Don't know,Don't know,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0002,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Disapprove,Disapprove,Don't know,Approve,Approve,Disapprove,Approve,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0003,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Don't know,Don't know,Approve,Approve,Disapprove,Approve,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0004,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Approve,Disapprove,Approve,Approve,Disapprove,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0005,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Disapprove,Approve,Approve,Don't know,Approve,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0006,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Approve,Don't know,Approve,Approve,Approve,Disapprove,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0007,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Disapprove,Disapprove,Approve,Approve,Don't know,Don't know,Don't know,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0008,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Approve,Don't know,Disapprove,Approve,Approve,Disapprove,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0009,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Disapprove,Disapprove,Approve,Disapprove,Approve,Disapprove,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0010,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Disapprove,Approve,Don't know,Disapprove,Disapprove,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0011,fiscal_hawks,Fiscal hawks,,base,mainstream,Approve,Approve,Disapprove,Disapprove,Approve,Don't know,Don't know,Approve,Disapprove,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0012,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Don't know,Approve,Don't know,Approve,Approve,Approve,Disapprove,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0013,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Don't know,Approve,Approve,Approve,Don't know,Don't know,Don't know,Don't know,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0014,fiscal_hawks,Fiscal hawks,,base,mainstream,Don't know,Disapprove,Approve,Approve,Disapprove,Approve,Don't know,Approve,Approve,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0015,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Approve,Disapprove,Disapprove,Don't know,Disapprove,Approve,Approve,Approve,Approve,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0016,fiscal_hawks,Fiscal hawks,,base,promoter,Don't know,Disapprove,Approve,Disapprove,Disapprove,Don't know,Approve,Approve,Don't know,Approve,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0017,fiscal_hawks,Fiscal hawks,,base,mainstream,Don't know,Approve,Don't know,Approve,Disapprove,Disapprove,Approve,Approve,Approve,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0018,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Disapprove,Approve,Approve,Don't know,Disapprove,Approve,Approve,Disapprove,Don't know,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0019,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Don't know,Approve,Approve,Approve,Disapprove,Don't know,Approve,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0020,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Don't know,Approve,Disapprove,Approve,Approve,Approve,Approve,Approve,Approve,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0021,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Don't know,Don't know,Approve,Approve,Approve,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0022,fiscal_hawks,Fiscal hawks,,base,promoter,Approve,Don't know,Approve,Don't know,Approve,Don't know,Don't know,Don't know,Disapprove,Disapprove,Disapprove
sample_en_pew_policy_topline_fiscal_hawks___base___0023,fiscal_hawks,Fiscal hawks,,base,skeptical,Approve,Approve,Don't know,Disapprove,Disapprove,Disapprove,Approve,Approve,Disapprove,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0024,fiscal_hawks,Fiscal hawks,,base,promoter,Disapprove,Disapprove,Don't know,Approve,Don't know,Don't know,Approve,Disapprove,Approve,Disapprove,Don't know
sample_en_pew_policy_topline_fiscal_hawks___base___0025,fiscal_hawks,Fiscal hawks,,base,skeptical,Disapprove,Approve,Disapprove,Approve,Don't know,Don't know,Approve,Disapprove,Approve,Don't know,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0026,fiscal_hawks,Fiscal hawks,,base,skeptical,Don't know,Disapprove,Disapprove,Don't know,Don't know,Don't know,Approve,Disapprove,Approve,Disapprove,Approve
sample_en_pew_policy_topline_fiscal_hawks___base___0027,fiscal_hawks,Fiscal hawks,,base,mainstream,Disapprove,Disapprove,Don't know,Don't know,Disapprove,Disapprove,Don't know,Approve,Approve,Approve,Disapprove
