respondent_id,segment_id,segment_name,variant_id,variant_name,latent_profile,q09_democracy_problem,q11_personal_impression,q12_public_impression,q13_unfair_advantage,q14_democratic_expression,q15a_corruption,q15b_effectiveness,q15c_resources
sample_zh_teds2018_se01_reform_youth___base___0000,reform_youth,改革導向青年選民,,base,skeptical,宗教團體對政治的影響力太大,不好,好,非常同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0001,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,沒差,不好,有點不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0002,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,沒差,不好,非常不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0003,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,不好,非常不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0004,reform_youth,改革導向青年選民,,base,mainstream,宗教團體對政治的影響力太大,沒差,不好,有點不同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0005,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,沒差,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0006,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,不好,有點不同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0007,reform_youth,改革導向青年選民,,base,skeptical,政治人物不太關心一般民眾的需求,不好,好,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0008,reform_youth,改革導向青年選民,,base,skeptical,街頭抗議太多,好,不好,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0009,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,不好,非常不同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0010,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,不好,有點不同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0011,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,沒差,沒差,非常同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0012,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,不好,不好,有點不同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0013,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,好,沒差,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0014,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,好,有點不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0015,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,沒差,不好,有點同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0016,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,沒差,非常同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0017,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,好,不好,非常同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0018,reform_youth,改革導向青年選民,,base,mainstream,貪腐問題,不好,不好,非常不同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0019,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,不好,沒差,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0020,reform_youth,改革導向青年選民,,base,mainstream,街頭抗議太多,不好,好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0021,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,好,有點不同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0022,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,沒差,好,有點同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0023,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,沒差,不好,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0024,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,沒差,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0025,reform_youth,改革導向青年選民,,base,mainstream,新聞政治報導不公正,沒差,沒差,非常不同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0026,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,不好,不好,有點不同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0027,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0028,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,好,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0029,reform_youth,改革導向青年選民,,base,skeptical,宗教團體對政治的影響力太大,沒差,沒差,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0030,reform_youth,改革導向青年選民,,base,mainstream,宗教團體對政治的影響力太大,不好,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0031,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0032,reform_youth,改革導向青年選民,,base,promoter,宗教團體對政治的影響力太大,沒差,沒差,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0033,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,不好,非常不同意,非常同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0034,reform_youth,改革導向青年選民,,base,mainstream,貪腐問題,沒差,不好,有點同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0035,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,沒差,沒差,有點同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0036,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,沒差,有點同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0037,reform_youth,改革導向青年選民,,base,promoter,政治人物不太關心一般民眾的需求,沒差,不好,有點同意,有點不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0038,reform_youth,改革導向青年選民,,base,mainstream,政黨對立太嚴重,沒差,沒差,非常不同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0039,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,沒差,好,有點不同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0040,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,不好,沒差,非常不同意,非常同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0041,reform_youth,改革導向青年選民,,base,skeptical,新聞政治報導不公正,好,不好,非常不同意,非常同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0042,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,不好,沒差,非常不同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0043,reform_youth,改革導向青年選民,,base,skeptical,政治人物不太關心一般民眾的需求,不好,不好,有點同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0044,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,沒差,好,有點同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0045,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,不好,沒差,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0046,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,沒差,好,有點同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0047,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,沒差,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0048,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點同意,有點不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0049,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,不好,不好,有點同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0050,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,沒差,不好,非常不同意,非常不同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0051,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,好,非常同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0052,reform_youth,改革導向青年選民,,base,promoter,政黨對立太嚴重,沒差,沒差,有點不同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0053,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,非常同意,非常同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0054,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,沒差,有點同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0055,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,不好,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0056,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,好,不好,有點同意,有點不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0057,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,不好,沒差,有點不同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0058,reform_youth,改革導向青年選民,,base,skeptical,政治人物不太關心一般民眾的需求,不好,好,非常不同意,非常同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0059,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,沒差,有點同意,有點不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0060,reform_youth,改革導向青年選民,,base,skeptical,政黨對立太嚴重,好,不好,有點不同意,有點同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0061,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,不好,不好,非常不同意,有點同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0062,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,好,不好,有點同意,非常同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0063,reform_youth,改革導向青年選民,,base,promoter,有太多政二代,沒差,沒差,非常同意,有點同意,不具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0064,reform_youth,改革導向青年選民,,base,skeptical,街頭抗議太多,不好,不好,非常不同意,有點不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0065,reform_youth,改革導向青年選民,,base,skeptical,宗教團體對政治的影響力太大,不好,不好,有點不同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0066,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0067,reform_youth,改革導向青年選民,,base,mainstream,政黨對立太嚴重,不好,好,有點不同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0068,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,沒差,不好,有點同意,非常不同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0069,reform_youth,改革導向青年選民,,base,skeptical,貪腐問題,不好,不好,有點不同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0070,reform_youth,改革導向青年選民,,base,promoter,貪腐問題,沒差,不好,有點同意,非常同意,不具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0071,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,好,不好,非常同意,有點不同意,具有政治家庭背景的人,具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0072,reform_youth,改革導向青年選民,,base,promoter,新聞政治報導不公正,好,不好,有點同意,非常不同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0073,reform_youth,改革導向青年選民,,base,promoter,新聞政治報導不公正,不好,不好,有點同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0074,reform_youth,改革導向青年選民,,base,mainstream,有太多政二代,不好,沒差,非常同意,非常不同意,具有政治家庭背景的人,不具有政治家庭背景的人,不具有政治家庭背景的人
sample_zh_teds2018_se01_reform_youth___base___0075,reform_youth,改革導向青年選民,,base,skeptical,有太多政二代,沒差,好,有點同意,有點同意,具有政治家庭背景的人,具有政治家庭背景的人,具有政治家庭背景的人
